system;region;route;banner;abbrev;city;fileroot;AltRouteNames
usaky3;KY;KY1337;;;;ky.ky1337;
usaky3;KY;KY1338;;;;ky.ky1338;
usaky3;KY;KY1339;;;;ky.ky1339;
usaky3;KY;KY1340;;;;ky.ky1340;
usaky3;KY;KY1342;;;;ky.ky1342;
usaky3;KY;KY1343;;;;ky.ky1343;
usaky3;KY;KY1344;;;;ky.ky1344;
usaky3;KY;KY1345;;;;ky.ky1345;
usaky3;KY;KY1346;;;;ky.ky1346;
usaky3;KY;KY1347;;;;ky.ky1347;
usaky3;KY;KY1348;;;;ky.ky1348;
usaky3;KY;KY1349;;;;ky.ky1349;
usaky3;KY;KY1350;;;;ky.ky1350;
usaky3;KY;KY1351;;;;ky.ky1351;
usaky3;KY;KY1352;;;;ky.ky1352;
usaky3;KY;KY1353;;;;ky.ky1353;
usaky3;KY;KY1354;;;;ky.ky1354;
usaky3;KY;KY1355;;;;ky.ky1355;
usaky3;KY;KY1356;;;;ky.ky1356;
usaky3;KY;KY1357;;;;ky.ky1357;
usaky3;KY;KY1359;;;;ky.ky1359;
usaky3;KY;KY1360;;;;ky.ky1360;
usaky3;KY;KY1361;;;;ky.ky1361;
usaky3;KY;KY1362;;;;ky.ky1362;
usaky3;KY;KY1363;;;;ky.ky1363;
usaky3;KY;KY1364;;;;ky.ky1364;
usaky3;KY;KY1365;;;;ky.ky1365;
usaky3;KY;KY1366;;;;ky.ky1366;
usaky3;KY;KY1367;;;;ky.ky1367;
usaky3;KY;KY1368;;;;ky.ky1368;
usaky3;KY;KY1369;;;;ky.ky1369;
usaky3;KY;KY1371;;;;ky.ky1371;
usaky3;KY;KY1372;;;;ky.ky1372;
usaky3;KY;KY1373;;;;ky.ky1373;
usaky3;KY;KY1374;;;;ky.ky1374;
usaky3;KY;KY1375;;;;ky.ky1375;
usaky3;KY;KY1376;;;;ky.ky1376;
usaky3;KY;KY1377;;;;ky.ky1377;
usaky3;KY;KY1379;;;;ky.ky1379;
usaky3;KY;KY1380;;;;ky.ky1380;
usaky3;KY;KY1382;;;;ky.ky1382;
usaky3;KY;KY1383;;;;ky.ky1383;
usaky3;KY;KY1384;;;;ky.ky1384;
usaky3;KY;KY1385;;;;ky.ky1385;
usaky3;KY;KY1387;;;;ky.ky1387;
usaky3;KY;KY1388;;;;ky.ky1388;
usaky3;KY;KY1389;;;;ky.ky1389;
usaky3;KY;KY1390;;;;ky.ky1390;
usaky3;KY;KY1391;;;;ky.ky1391;
usaky3;KY;KY1392;;;;ky.ky1392;
usaky3;KY;KY1393;;;;ky.ky1393;
usaky3;KY;KY1394;;;;ky.ky1394;
usaky3;KY;KY1395;;;;ky.ky1395;
usaky3;KY;KY1396;;;;ky.ky1396;
usaky3;KY;KY1397;;;;ky.ky1397;
usaky3;KY;KY1398;;;;ky.ky1398;
usaky3;KY;KY1399;;;;ky.ky1399;
usaky3;KY;KY1400;;;;ky.ky1400;
usaky3;KY;KY1401;;;;ky.ky1401;
usaky3;KY;KY1402;;;;ky.ky1402;
usaky3;KY;KY1403;;;;ky.ky1403;
usaky3;KY;KY1404;;;;ky.ky1404;
usaky3;KY;KY1405;;;;ky.ky1405;
usaky3;KY;KY1406;;;;ky.ky1406;
usaky3;KY;KY1407;;;;ky.ky1407;
usaky3;KY;KY1408;;;;ky.ky1408;
usaky3;KY;KY1409;;;;ky.ky1409;
usaky3;KY;KY1410;;;;ky.ky1410;
usaky3;KY;KY1411;;;;ky.ky1411;
usaky3;KY;KY1412;;;;ky.ky1412;
usaky3;KY;KY1413;;;;ky.ky1413;
usaky3;KY;KY1414;;;;ky.ky1414;
usaky3;KY;KY1415;;;;ky.ky1415;
usaky3;KY;KY1416;;;;ky.ky1416;
usaky3;KY;KY1417;;;;ky.ky1417;
usaky3;KY;KY1418;;;;ky.ky1418;
usaky3;KY;KY1419;;;;ky.ky1419;
usaky3;KY;KY1420;;;;ky.ky1420;
usaky3;KY;KY1421;;;;ky.ky1421;
usaky3;KY;KY1422;;;;ky.ky1422;
usaky3;KY;KY1424;;;;ky.ky1424;
usaky3;KY;KY1425;;;;ky.ky1425;
usaky3;KY;KY1426;;;;ky.ky1426;
usaky3;KY;KY1427;;;;ky.ky1427;
usaky3;KY;KY1428;;;;ky.ky1428;
usaky3;KY;KY1428;;Pai;Paintsville;ky.ky1428pai;
usaky3;KY;KY1429;;;;ky.ky1429;
usaky3;KY;KY1430;;;;ky.ky1430;
usaky3;KY;KY1431;;;;ky.ky1431;
usaky3;KY;KY1432;;;;ky.ky1432;
usaky3;KY;KY1433;;;;ky.ky1433;
usaky3;KY;KY1434;;;;ky.ky1434;
usaky3;KY;KY1435;;;;ky.ky1435;
usaky3;KY;KY1436;;;;ky.ky1436;
usaky3;KY;KY1437;;;;ky.ky1437;
usaky3;KY;KY1438;;;;ky.ky1438;
usaky3;KY;KY1439;;;;ky.ky1439;
usaky3;KY;KY1440;;;;ky.ky1440;
usaky3;KY;KY1441;;;;ky.ky1441;
usaky3;KY;KY1442;;;;ky.ky1442;
usaky3;KY;KY1443;;;;ky.ky1443;
usaky3;KY;KY1444;;;;ky.ky1444;
usaky3;KY;KY1445;;;;ky.ky1445;
usaky3;KY;KY1446;;;;ky.ky1446;
usaky3;KY;KY1447;;;;ky.ky1447;
usaky3;KY;KY1448;;;;ky.ky1448;
usaky3;KY;KY1449;;;;ky.ky1449;
usaky3;KY;KY1450;;;;ky.ky1450;
usaky3;KY;KY1451;;;;ky.ky1451;
usaky3;KY;KY1453;;;;ky.ky1453;
usaky3;KY;KY1454;;;;ky.ky1454;
usaky3;KY;KY1455;;;;ky.ky1455;
usaky3;KY;KY1456;;;;ky.ky1456;
usaky3;KY;KY1457;;;;ky.ky1457;
usaky3;KY;KY1458;;;;ky.ky1458;
usaky3;KY;KY1459;;;;ky.ky1459;
usaky3;KY;KY1460;;;;ky.ky1460;
usaky3;KY;KY1461;;;;ky.ky1461;
usaky3;KY;KY1462;;;;ky.ky1462;
usaky3;KY;KY1463;;;;ky.ky1463;
usaky3;KY;KY1464;;;;ky.ky1464;
usaky3;KY;KY1465;;;;ky.ky1465;
usaky3;KY;KY1466;;;;ky.ky1466;
usaky3;KY;KY1468;;;;ky.ky1468;
usaky3;KY;KY1469;;;;ky.ky1469;
usaky3;KY;KY1470;;;;ky.ky1470;
usaky3;KY;KY1471;;;;ky.ky1471;
usaky3;KY;KY1472;;;;ky.ky1472;
usaky3;KY;KY1473;;;;ky.ky1473;
usaky3;KY;KY1475;;;;ky.ky1475;
usaky3;KY;KY1476;;;;ky.ky1476;
usaky3;KY;KY1477;;;;ky.ky1477;
usaky3;KY;KY1479;;;;ky.ky1479;
usaky3;KY;KY1481;;;;ky.ky1481;
usaky3;KY;KY1482;;;;ky.ky1482;
usaky3;KY;KY1483;;;;ky.ky1483;
usaky3;KY;KY1484;;;;ky.ky1484;
usaky3;KY;KY1485;;;;ky.ky1485;
usaky3;KY;KY1486;;;;ky.ky1486;
usaky3;KY;KY1487;;;;ky.ky1487;
usaky3;KY;KY1488;;;;ky.ky1488;
usaky3;KY;KY1489;;;;ky.ky1489;
usaky3;KY;KY1490;;;;ky.ky1490;
usaky3;KY;KY1491;;;;ky.ky1491;
usaky3;KY;KY1492;;;;ky.ky1492;
usaky3;KY;KY1494;;;;ky.ky1494;
usaky3;KY;KY1495;;;;ky.ky1495;
usaky3;KY;KY1496;;;;ky.ky1496;
usaky3;KY;KY1497;;;;ky.ky1497;
usaky3;KY;KY1498;;;;ky.ky1498;
usaky3;KY;KY1499;;;;ky.ky1499;
