System;Route;Banner;City;Root
gbna;A569;;;eng.a569
gbna;A570;;;eng.a570
gbna;A571;;;eng.a571
gbna;A572;;;eng.a572
gbna;A573;;;eng.a573
gbna;A574;;(Main);eng.a574
gbna;A574;;Birchwood;eng.a574bir
gbna;A575;;Walkden;eng.a575
gbna;A575;;Bolton;eng.a575bol
gbna;A576;;;eng.a576
gbna;A577;;;eng.a577
gbna;A578;;;eng.a578
gbna;A579;;;eng.a579
gbna;A580;;;eng.a580
gbna;A581;;;eng.a581
gbna;A582;;;eng.a582
gbna;A583;;;eng.a583
gbna;A584;;;eng.a584
gbna;A585;;;eng.a585
gbna;A586;;;eng.a586
gbna;A587;;;eng.a587
gbna;A588;;;eng.a588
gbna;A589;;;eng.a589
gbna;A590;;;eng.a590
gbna;A591;;;eng.a591
gbna;A592;;;eng.a592
gbna;A593;;;eng.a593
gbna;A594;;Maryport;eng.a594
gbna;A594;;Leicester;eng.a594lei
gbna;A595;;;eng.a595
gbna;A596;;;eng.a596
gbna;A597;;;eng.a597
gbna;A598;;;eng.a598
gbna;A599;;;eng.a599
gbna;A700;;;sct.a700
gbna;A701;;;sct.a701
gbna;A702;;;sct.a702
gbna;A703;;;sct.a703
gbna;A704;;;sct.a704
gbna;A705;;;sct.a705
gbna;A706;;;sct.a706
gbna;A707;;;sct.a707
gbna;A708;;;sct.a708
gbna;A709;;;sct.a709
gbna;A710;;;sct.a710
gbna;A711;;;sct.a711
gbna;A712;;;sct.a712
gbna;A713;;;sct.a713
gbna;A714;;;sct.a714
gbna;A716;;;sct.a716
gbna;A717;;;sct.a717
gbna;A718;;;sct.a718
gbna;A719;;;sct.a719
gbna;A720;;;sct.a720
gbna;A721;;;sct.a721
gbna;A722;;;sct.a722
gbna;A723;;;sct.a723
gbna;A724;;;sct.a724
gbna;A725;;;sct.a725
gbna;A726;;;sct.a726
gbna;A727;;;sct.a727
gbna;A728;;(South) Glasgow;sct.a728
gbna;A728;;(East) Glasgow;sct.a728egl
gbna;A730;;;sct.a730
gbna;A735;;;sct.a735
gbna;A736;;;sct.a736
gbna;A737;;;sct.a737
