System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
itass2;ITA-SIC;SS189;;;;itasic.ss189;
itass2;ITA-SIC;SS190;;;;itasic.ss190;
itass2;ITA-SIC;SS191;;;;itasic.ss191;
itass2;ITA-SIC;SS192;;;;itasic.ss192;
itass2;ITA-SIC;SS193;;;;itasic.ss193;
itass2;ITA-SIC;SS194;;;;itasic.ss194;
itass2;ITA-SAR;SS195;;;;itasar.ss195;
itass2;ITA-SAR;SS195;Racc;;;itasar.ss195racc;
itass2;ITA-SAR;SS196;;;;itasar.ss196;
itass2;ITA-SAR;SS196;Dir;;;itasar.ss196dir;
itass2;ITA-SAR;SS197;;;;itasar.ss197;
itass2;ITA-SAR;SS198;;;;itasar.ss198;
itass2;ITA-SAR;SS199;;;;itasar.ss199;
itass2;ITA-SAR;SS200;;;;itasar.ss200;
itass2;ITA-FRI;SS202;;;;itafri.ss202;
itass2;ITA-FRI;SS202;Dir;;;itafri.ss202dir;
itass2;ITA-UMB;SS205;;;;itaumb.ss205;
itass2;ITA-UMB;SS209;;;;itaumb.ss209;
itass2;ITA-MAR;SS210;;;;itamar.ss210;
itass2;ITA-CAM;SS212;;Ben;Benevento;itacam.ss212ben;
itass2;ITA-CAM;SS212;;;Reino;itacam.ss212;
itass2;ITA-MOL;SS212;;;Reino;itamol.ss212;
itass2;ITA-CAM;SS212;Var;;;itacam.ss212var;
itass2;ITA-LAZ;SS214;;;;italaz.ss214;
itass2;ITA-UMB;SS219;;;;itaumb.ss219;
itass2;ITA-TOS;SS223;;;;itatos.ss223;
itass2;ITA-PIE;SS231;;;;itapie.ss231;
itass2;ITA-LOM;SS233;;;;italom.ss233;
itass2;ITA-TRE;SS237;;;;itatre.ss237;
itass2;ITA-TRE;SS237;Dir;;;itatre.ss237dir;
itass2;ITA-TRE;SS238;;;;itatre.ss238;
itass2;ITA-TRE;SS238;Dir;;;itatre.ss238dir;
