System;Region;Route;Banner;Locale;Label;File;AltRouteNames
usapr;PR;PR668;;Man;Manati(S);pr.pr0668man;
usapr;PR;PR669;;;;pr.pr0669;
usapr;PR;PR670;;;;pr.pr0670;
usapr;PR;PR671;;;;pr.pr0671;
usapr;PR;PR672;;;;pr.pr0672;
usapr;PR;PR673;;;;pr.pr0673;
usapr;PR;PR674;;;;pr.pr0674;
usapr;PR;PR675;;;;pr.pr0675;
usapr;PR;PR676;;;;pr.pr0676;
usapr;PR;PR677;;;Vega Alta;pr.pr0677;
usapr;PR;PR677;;Toa;Toa Alta;pr.pr0677toa;
usapr;PR;PR677;;Tob;Toa Baja;pr.pr0677tob;
usapr;PR;PR678;;;;pr.pr0678;
usapr;PR;PR679;;;;pr.pr0679;
usapr;PR;PR681;;;;pr.pr0681;
usapr;PR;PR682;;;;pr.pr0682;
usapr;PR;PR683;;;;pr.pr0683;
usapr;PR;PR684;;;;pr.pr0684;
usapr;PR;PR685;;;;pr.pr0685;
usapr;PR;PR686;;;;pr.pr0686;
usapr;PR;PR687;;;;pr.pr0687;
usapr;PR;PR688;;;;pr.pr0688;
usapr;PR;PR689;;;;pr.pr0689;
usapr;PR;PR690;;;;pr.pr0690;
usapr;PR;PR691;;;;pr.pr0691;
usapr;PR;PR692;;;;pr.pr0692;
usapr;PR;PR693;;;;pr.pr0693;
usapr;PR;PR694;;;;pr.pr0694;
usapr;PR;PR695;;;;pr.pr0695;
usapr;PR;PR696;;;;pr.pr0696;
usapr;PR;PR697;;;;pr.pr0697;
usapr;PR;PR698;;;;pr.pr0698;
usapr;PR;PR699;;;;pr.pr0699;
usapr;PR;PR701;;;;pr.pr0701;
usapr;PR;PR702;;;;pr.pr0702;
usapr;PR;PR703;;;;pr.pr0703;
usapr;PR;PR704;;;;pr.pr0704;
usapr;PR;PR705;;;;pr.pr0705;
usapr;PR;PR706;;;;pr.pr0706;
usapr;PR;PR707;;;;pr.pr0707;
usapr;PR;PR708;;;;pr.pr0708;
usapr;PR;PR709;;;;pr.pr0709;
usapr;PR;PR710;;;;pr.pr0710;
usapr;PR;PR712;;;;pr.pr0712;
usapr;PR;PR713;;;;pr.pr0713;
usapr;PR;PR714;;;;pr.pr0714;
usapr;PR;PR715;;;;pr.pr0715;
usapr;PR;PR716;;;;pr.pr0716;
usapr;PR;PR717;;;;pr.pr0717;
usapr;PR;PR718;;;;pr.pr0718;
usapr;PR;PR719;;;;pr.pr0719;
usapr;PR;PR720;;;;pr.pr0720;
usapr;PR;PR721;;;;pr.pr0721;
