systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_country;_boundaries;B170;18;(-29.41,-56.39);ARG/BRA,URY;b.170;
b_country;_boundaries;B171;3;(-55.09,-66.68);ARG/CHL;b.171;
b_country;_boundaries;B172;3;(-55.29,-66.99);ARG/CHL ?;b.172;
b_country;_boundaries;B173;3;(-54.90,-67.81);ARG/CHL;b.173;
b_country;_boundaries;B174;5;(-53.92,-68.63);ARG/CHL;b.174;
b_country;_boundaries;B175;11;(7.87,-77.51);COL/PAN;b.175;
b_country;_boundaries;B176;6;(10.87,-83.95);NIC/CRI;b.176;
b_country;_boundaries;B177;5;(11.05,-85.05);NIC/CRI;b.177;
b_country;_boundaries;B178;4;(18.50,-71.82);DOM/HTI;b.178;
b_country;_boundaries;B179;3;(19.35,-71.71);DOM/HTI;b.179;
b_country;_boundaries;B487;100;(30.32,-104.86);USA-TX/MEX-CHIH;b.487;
b_country;_boundaries;B488;100;(29.20,-101.41);USA-TX/MEX-COAH,NL;b.488;
b_country;_boundaries;B489;99;(26.56,-98.63);USA-TX/MEX-NL,TAM;b.489;
b_country;_boundaries;B645;18;(48.64,-94.03);USA-MN/CAN-ON;b.645;
b_country;_boundaries;B646;44;(48.17,-91.25);USA-MN/CAN-ON;b.646;
b_country;_boundaries;B682;12;(42.76,-82.51);CAN-ON/USA-MI;b.682;
b_country;_boundaries;B684;5;(42.24,-83.09);CAN-ON/USA-MI;b.684;
b_country;_boundaries;B689;13;(43.07,-79.01);CAN-ON/USA-NY;b.689;
b_country;_boundaries;B696;9;(44.86,-75.18);CAN-ON/USA-NY;b.696;
b_country;_boundaries;B697;7;(46.33,-70.17);CAN-QC/USA-ME;b.697;
b_country;_boundaries;B698;23;(47.28,-68.50);USA-ME/CAN-QC,NB;b.698;
b_country;_boundaries;B699;26;(45.45,-67.48);USA-ME/CAN-QC,NB;b.699;
b_country;_boundaries;B706A;5;(45.11,-71.45);CAN-QC/USA-NH;b.706a;
b_country;_boundaries;B722;4;(32.65,-115.71);USA-CA/MEX-BC;b.722;
b_country;_boundaries;B723;13;(31.70,-110.22);USA-AZ,NM/MEX-CHIH,SON;b.723;
b_country;_boundaries;B724;30;(49.00,-108.65);USA-WA,ID,MT,ND,MN/CAN-BC,AB,SK,MB;b.724;
b_country;_boundaries;B725;3;(49.32,-95.14);USA-MN/CAN-MB;b.725;
b_country;_boundaries;B726;5;(45.01,-73.05);USA-VT,NY/CAN-QC;b.726;
b_country;_boundaries;B727;42;(45.62,-70.68);USA-NH,ME/CAN-QC;b.727;
b_country;_boundaries;B728;3;(46.85,-69.76);USA-ME/CAN-QC;b.728;
b_country;_boundaries;B729;2;(46.51,-67.78);USA-ME/CAN-NB;b.729;
