System;CountryCode;Name;Color;Tier;Level
canmbw;CAN;Winnipeg City Routes;yellow;3E;devel
cannf;CAN;Canada Select Named Freeways;teal;1D;devel
cannss;CAN;Nova Scotia Scenic Travelways;yellow;3E;devel
cansph;CAN;Canada Select Provincial Highways;brown;3E;devel
#deubwl;DEU;Baden-Württemberg Landesstraßen;yellow;3C;devel
#deubbl;DEU;Brandenburg Landesstraßen;yellow;3C;devel
#deumvl;DEU;Mecklenburg-Western Pomerania Landesstraßen;yellow;3C;devel
#deunil;DEU;Lower Saxony Landesstraßen;yellow;3C;devel
deunwl;DEU;North Rhine-Westphalia Landesstraßen;yellow;3C;devel
#deurpl;DEU;Rhineland-Palatinate Landesstraßen;yellow;3C;devel
#deusll;DEU;Saarland Landesstraßen;yellow;3C;devel
#deusns;DEU;Saxony Staatsstraßen;yellow;3C;devel
#deustl;DEU;Saxony-Anhalt Landesstraßen;yellow;3C;devel
#deushl;DEU;Schleswig-Holstein Landesstraßen;yellow;3C;devel
#deuthl;DEU;Thuringia Landesstraßen;yellow;3C;devel
grceo;GRC;Greece Ethniki Odos;lightsalmon;3A;devel
#lvap;LVA;Valsts Pirmas Škiras Autoceli;yellow;3B;devel
namb;NAM;Namibia B Roads;lightsalmon;3A;devel
ngae;NGA;Nigeria Expressways;blue;1A;devel
#norfv1;NOR;Norway Primære Fylkesveier 101-181;yellow;3C;devel
#norfv2;NOR;Norway Primære Fylkesveier 201-289;yellow;3C;devel
#norfv3;NOR;Norway Primære Fylkesveier 300-364;yellow;3C;devel
#norfv4;NOR;Norway Primære Fylkesveier 401-471;yellow;3C;devel
#norfv5;NOR;Norway Primære Fylkesveier 501-585;yellow;3C;devel
#norfv6;NOR;Norway Primære Fylkesveier 601-690;yellow;3C;devel
#norfv7;NOR;Norway Primære Fylkesveier 700-777;yellow;3C;devel
#norfv8;NOR;Norway Primære Fylkesveier 801-866;yellow;3C;devel
nzlsh;NZL;New Zealand State Highways;lightsalmon;3A;devel
#poldw2;POL;Poland Droga Wojewódzka 200-299;yellow;3C;devel
#poldw3;POL;Poland Droga Wojewódzka 300-399;yellow;3C;devel
#poldw4;POL;Poland Droga Wojewódzka 400-499;yellow;3C;devel
#poldw5;POL;Poland Droga Wojewódzka 500-599;yellow;3C;devel
#poldw6;POL;Poland Droga Wojewódzka 600-699;yellow;3C;devel
#poldw7;POL;Poland Droga Wojewódzka 700-799;yellow;3C;devel
#poldw8;POL;Poland Droga Wojewódzka 800-899;yellow;3C;devel
#poldw9;POL;Poland Droga Wojewódzka 900-999;yellow;3C;devel
rusr;RUS;Russia Regional Roads;lightsalmon;3C;devel
rusa;RUS;Russia Access Roads;lightsalmon;3B;devel
#svnr;SVN;Slovenia Regionalna Ceste;yellow;3C;devel
usaas;USA;American Samoa Territorial Highways;brown;3C;devel
usafl;USA;Florida State Highways;brown;3C;devel
usala1;USA;Louisiana State Highways 1-499;brown;3C;devel
usanp;USA;United States Select National Park Highways;brown;3E;devel
#usanyp;USA;New York Parkways;teal;1C;devel
usaush;USA;United States Historic Highways;brown;3E;devel
