code;name;country;continent;regionType
MAF;Saint Martin;FRA;NA;Overseas Collectivity
MAR;Morocco;MAR;AFR;Country
MB;Manitoba;CAN;NA;Province
MCO;Monaco;MCO;EUR;Country
MD;Maryland;USA;NA;State
MDA;Moldova;MDA;EUR;Country
MDG;Madagascar;MDG;AFR;Country
MDV;Maldives;MDV;ASI;Country
ME;Maine;USA;NA;State
MEX;Mexico;MEX;NA;Country
MEX-AGS;Aguascalientes;MEX;NA;State
MEX-BC;Baja California;MEX;NA;State
MEX-BCS;Baja California Sur;MEX;NA;State
MEX-CAMP;Campeche;MEX;NA;State
MEX-CHIH;Chihuahua;MEX;NA;State
MEX-CHIS;Chiapas;MEX;NA;State
MEX-COAH;Coahuila;MEX;NA;State
MEX-COL;Colima;MEX;NA;State
MEX-DF;Distrito Federal;MEX;NA;Federal District
MEX-DGO;Durango;MEX;NA;State
MEX-E0;Estado de Mexico;MEX;NA;State
MEX-GRO;Guerrero;MEX;NA;State
MEX-GTO;Guanajuato;MEX;NA;State
MEX-HGO;Hidalgo;MEX;NA;State
MEX-JAL;Jalisco;MEX;NA;State
MEX-MICH;Michoacán;MEX;NA;State
MEX-MOR;Morelos;MEX;NA;State
MEX-NAY;Nayarit;MEX;NA;State
MEX-NL;Nuevo León;MEX;NA;State
MEX-OAX;Oaxaca;MEX;NA;State
MEX-PUE;Puebla;MEX;NA;State
MEX-QRO;Queretaro;MEX;NA;State
MEX-QROO;Quintana Roo;MEX;NA;State
MEX-SIN;Sinaloa;MEX;NA;State
MEX-SLP;San Luis Potosí;MEX;NA;State
MEX-SON;Sonora;MEX;NA;State
MEX-TAB;Tabasco;MEX;NA;State
MEX-TAM;Tamaulipas;MEX;NA;State
MEX-TLAX;Tlaxcala;MEX;NA;State
MEX-VER;Veracruz;MEX;NA;State
MEX-YUC;Yucatán;MEX;NA;State
MEX-ZAC;Zacatecas;MEX;NA;State
MHL;Marshall Islands;MHL;OCE;Country
MI;Michigan;USA;NA;State
MKD;Macedonia;MKD;EUR;Country
MLI;Mali;MLI;AFR;Country
MLT;Malta;MLT;EUR;Country
MMR;Myanmar;MMR;ASI;Country
MN;Minnesota;USA;NA;State
MNE;Montenegro;MNE;EUR;Country
MNG;Mongolia;MNG;ASI;Country
MO;Missouri;USA;NA;State
MOZ;Mozambique;MOZ;AFR;Country
MP;Northern Mariana Islands;USA;OCE;Territory
MRT;Mauritania;MRT;AFR;Country
MS;Mississippi;USA;NA;State
MSR;Montserrat;GBR;NA;Overseas Territory
MT;Montana;USA;NA;State
MTQ;Martinique;FRA;NA;Overseas Region
MUS;Mauritius;MUS;AFR;Country
MWI;Malawi;MWI;AFR;Country
MYS;Malaysia;MYS;ASI;Country
MYT;Mayotte;FRA;AFR;Overseas Region
NA;North America;NA;NA;Continent
NAM;Namibia;NAM;AFR;Country
NB;New Brunswick;CAN;NA;Province
NC;North Carolina;USA;NA;State
