route;Waypoint1;Waypoint2;Waypoint3;Error;Info
ago.rtr202;Chiu;End;;VISIBLE_DISTANCE;92.63
ago.rtr202;EN260;Chia;;VISIBLE_DISTANCE;34.94
ago.rtr202;Lum;Lut;;VISIBLE_DISTANCE;20.35
ago.rtr202;LumNgu;Nin;;VISIBLE_DISTANCE;51.61
ago.rtr202;Nin;Chiu;;VISIBLE_DISTANCE;28.47
ago.rtr202mai;Mai;SEnd;;VISIBLE_DISTANCE;10.91
ago.rtr202mai;NEnd;Mai;;VISIBLE_DISTANCE;14.12
ago.rtr202muc;End;EN295;;VISIBLE_DISTANCE;86.66
ago.rtr204;Caf;EN240_W;;VISIBLE_DISTANCE;15.08
ago.rtr204;EN180;Leua;;VISIBLE_DISTANCE;39.56
ago.rtr204;EN190_S;EN250_E;;VISIBLE_DISTANCE;29.13
ago.rtr204;Fun;EN190_N;;VISIBLE_DISTANCE;56.67
ago.rtr204;Leua;Lum;;VISIBLE_DISTANCE;23.90
ago.rtr204;Lum;Cai;;VISIBLE_DISTANCE;13.39
ago.rtr204;Muc;Caf;;VISIBLE_DISTANCE;12.91
ago.rtr30;AerMen;EN160_N;;VISIBLE_DISTANCE;53.76
ago.rtr30;BaiLon;Nan;;VISIBLE_DISTANCE;28.01
ago.rtr30;Col;EN120_S;;VISIBLE_DISTANCE;19.23
ago.rtr30;Cuc;EN140_S;;VISIBLE_DISTANCE;56.31
ago.rtr30;Cut;Cuc;;VISIBLE_DISTANCE;38.88
ago.rtr30;Dir;EN180;;VISIBLE_DISTANCE;44.95
ago.rtr30;EN100;Rap;;VISIBLE_DISTANCE;10.93
ago.rtr30;EN105_N;CapCav;;VISIBLE_DISTANCE;47.85
ago.rtr30;EN120_N;Cut;;VISIBLE_DISTANCE;16.45
ago.rtr30;EN160_N;Mas;;VISIBLE_DISTANCE;14.14
ago.rtr30;EN160/295;Dir;;VISIBLE_DISTANCE;24.64
ago.rtr30;EN280_E;BaiLon;;VISIBLE_DISTANCE;65.63
ago.rtr30;Ent;Col;;VISIBLE_DISTANCE;16.18
ago.rtr30;EstBib_W;EstBib_E;;VISIBLE_DISTANCE;23.65
ago.rtr30;EstSaco;EN100;;VISIBLE_DISTANCE;16.14
ago.rtr30;LebaVie;RuaHum;;VISIBLE_DISTANCE;11.36
ago.rtr30;Mas;EN280_E;;VISIBLE_DISTANCE;51.16
ago.rtr30;Mat;Don;;VISIBLE_DISTANCE;48.48
ago.rtr30;Nan;Rito;;VISIBLE_DISTANCE;22.68
