country;state;viewid;name;lat;lon;radius;dimratio
TKM;ALL;0;Turkmenistan;38.963236;59.5775465;381.24970099;0.692474018
TUR;ALL;0;Turkey;38.959479;35.240126;509.6817643883;0.4234493378
UKR;ALL;0;Ukraine;48.3835485;31.1737595;411.9531139238;0.6674637865
RKS;ALL;0;Kosovo;42.561234;20.9030785;49.0223079527;1.0858011574
USA;AK;0;Alaska;63.0322285;-149.056225;582.6908735601;0.9824267845
USA;AL;0;Alabama;32.5986065;-86.6807535;165.6538437309;1.5874341559
USA;ALL;0;United States of America;36.964216;-95.847469;1449.2217565979;0.5468058029
USA;ALL;1;Southwestern United States;35.25;-116;448.4634561634;0.5746222077
USA;ALL;2;Southern United States;31.75;-100;497.4544103454;1.0666997578
USA;ALL;3;Southeastern United States;31.75;-83.5;497.4544103454;1.0040706124
USA;ALL;4;Northwestern United States;44.05;-114.8;482.3813845105;0.7186673399
USA;ALL;5;Northern United States;44.05;-95.5;467.8940826048;0.7412554141
USA;ALL;6;Northeastern United States;44.05;-76.5;467.8940826048;0.7412554141
USA;AR;0;Arkansas;34.7593175;-92.1313785;141.1928929227;0.8518951463
USA;AZ;0;Arizona;34.1657825;-111.9308915;195.7321187846;1.1868055253
USA;CA;0;California;37.264034;-119.2701635;326.0256867767;1.1570130579
USA;CO;0;Colorado;39.0002425;-105.5477905;187.7398592306;0.7364429951
USA;CT;0;Connecticut;41.516936;-72.764216;49.8974567252;0.7381879114
USA;DC;0;District of Columbia;38.8935915;-77.014576;7.052054675;1.2454175005
USA;DE;0;Delaware;39.145381;-75.4187725;48.0051534248;2.4199309625
USA;FL;0;Florida;27.7690105;-83.833;232.2442011313;0.9588023782
USA;GA;0;Georgia;32.675634;-83.2230065;160.3395920386;1.1571325412
USA;HI;0;Hawaii;20.568667;-157.526985;175.9460516285;0.6510515062
USA;IA;0;Iowa;41.9379295;-93.389798;167.0150935344;0.6464868208
USA;ID;0;Idaho;45.497902;-114.058977;241.9224054716;1.664725197
USA;IL;0;Illinois;39.7314625;-89.522314;190.7618023959;1.8037549166
USA;IN;0;Indiana;39.7659825;-86.44132;137.8492927771;1.5661398469
USA;KS;0;Kansas;38.499538;-98.3195815;201.6344901169;0.5140403453
USA;KY;0;Kentucky;37.822851;-85.768253;207.4520093634;0.4410445089
USA;LA;0;Louisiana;30.951762;-91.509661;150.1495283096;0.9517040723
USA;MA;0;Massachusetts;42.148273;-71.718173;91.7606101433;0.5565367635
USA;MD;0;Maryland;38.8160295;-77.2629155;119.2477306814;0.5240934796
USA;ME;0;Maine;45.262159;-69.016598;151.8822675487;1.5100239266
USA;MI;0;Michigan;44.6062885;-86.4156925;198.5258044912;1.0089325324
USA;MN;0;Minnesota;46.442359;-93.365105;203.222285678;1.1025972032
USA;MO;0;Missouri;38.291678;-92.437236;180.9535443462;0.8757447646
USA;MS;0;Mississippi;32.585593;-89.8764965;166.5515781872;1.6083289482
USA;MT;0;Montana;46.680157;-110.051233;283.6193382854;0.564802215
USA;NC;0;North Carolina;35.2196035;-79.891353;249.7690447537;0.3781820473
USA;ND;0;North Dakota;47.4736995;-100.303843;175.0537141525;0.6033089685
USA;NE;0;Nebraska;41.499278;-99.6807685;226.0453595074;0.4580147021
USA;NH;0;New Hampshire;44.0161605;-71.63269;89.1556059779;1.9393378175
USA;NJ;0;New Jersey;40.1430085;-74.732639;83.9787475435;1.8942789959
USA;NM;0;New Mexico;34.1656655;-106.023717;195.7401816954;1.1335094961
USA;NV;0;Nevada;38.497799;-117.0213625;241.3533849452;1.4993902381
USA;NY;0;New York;42.754441;-75.809109;200.4241036391;0.7783602966
