state;Name;Pop.;latitude;longitude
MN;Brooklyn Park city;67388;45.101431;-93.347445
WA;Bellingham city;67171;48.750178;-122.474975
CA;Chino city;67168;34.017765;-117.689990
NJ;Union City city;67088;40.767651;-74.031833
MA;Framingham CDP;66910;42.299795;-71.426627
CA;Union City city;66869;37.592184;-122.045775
CA;Chino Hills city;66787;33.975267;-117.723054
NC;Jacksonville city;66715;34.759630;-77.409765
TX;Baytown city;66430;29.743752;-94.965767
NV;Sparks city;66346;39.554543;-119.735643
MI;Pontiac city;66337;42.646038;-83.292565
NC;Gastonia city;66277;35.255220;-81.180249
MN;Plymouth city;65894;45.015771;-93.458918
MI;Taylor city;65868;42.231788;-83.264812
TX;Bryan city;65660;30.665547;-96.366745
IL;Palatine village;65479;42.116885;-88.040613
OH;Springfield city;65358;39.927067;-83.804131
VA;Lynchburg city;65269;37.403672;-79.170205
MI;Shelby CDP;65159;42.670833;-83.033003
MI;West Bloomfield Township CDP;64862;42.569218;-83.380999
WI;Waukesha city;64825;43.009946;-88.237436
IL;Bloomington city;64808;40.477585;-88.983509
FL;Deerfield Beach city;64583;26.305223;-80.119817
CA;Walnut Creek city;64296;37.909956;-122.047373
ME;Portland city;64249;43.665116;-70.269086
FL;Daytona Beach city;64112;29.207309;-81.037900
CA;Victorville city;64029;34.520459;-117.344525
CA;Merced city;63893;37.305977;-120.477916
VA;Suffolk city;63677;36.741347;-76.609881
CA;Pleasanton city;63654;37.672530;-121.882517
CA;Redlands city;63591;34.056563;-117.171449
CT;West Hartford CDP;63589;41.760050;-72.743041
MN;Eagan city;63557;44.813765;-93.169146
CA;Pico Rivera city;63428;33.989013;-118.089121
IL;Skokie village;63348;42.037030;-87.740070
TX;Sugar Land city;63328;29.599580;-95.614089
CA;Redondo Beach city;63261;33.856514;-118.377081
OR;Medford city;63154;42.331998;-122.861874
MI;St. Clair Shores city;63096;42.487769;-82.896778
WI;Oshkosh city;62916;44.024983;-88.551336
AL;Hoover city;62742;33.386435;-86.804938
CA;Milpitas city;62698;37.434586;-121.895059
CA;Hesperia city;62582;34.412903;-117.306189
MD;Dundalk CDP;62306;39.265957;-76.505182
IA;Iowa City city;62220;41.655816;-91.524991
NM;Santa Fe city;62203;35.667231;-105.964575
CA;Montebello city;62150;34.014412;-118.114501
CA;Laguna Niguel city;61891;33.531938;-117.702503
NJ;Bayonne city;61842;40.666552;-74.117680
NY;Schenectady city;61821;42.804076;-73.929289
MI;Saginaw city;61799;43.420926;-83.950829
NY;Tonawanda CDP;61729;42.985307;-78.852127
WI;Eau Claire city;61704;44.814627;-91.492677
MN;Coon Rapids city;61607;45.171032;-93.307785
CA;Huntington Park city;61348;33.982364;-118.217381
WI;West Allis city;61254;43.008114;-88.018353
TX;Round Rock city;61136;30.514865;-97.672561
NJ;Irvington CDP;60695;40.725651;-74.232076
OH;Hamilton city;60690;39.395806;-84.564920
NY;Utica city;60651;43.096569;-75.231887
TX;Victoria city;60603;28.816866;-96.993462
CA;South San Francisco city;60552;37.655983;-122.425525
NC;Greenville city;60476;35.601613;-77.372366
AR;North Little Rock city;60433;34.780791;-92.256881
FL;Boynton Beach city;60389;26.528099;-80.076363
MO;St. Charles city;60321;38.788698;-90.511764
CA;Davis city;60308;38.553856;-121.738095
MN;Burnsville city;60220;44.756113;-93.281170
CA;Florence-Graham CDP;60197;33.969364;-118.243881
