labelid;type;name;localname;lat;lon;size;rotation
247;S;Sverdlovsk;;58.16;62.29;1;0
248;S;Tatarstan;;55.35;50.91;1;0
249;S;Tambov;;52.74;41.57;0.9;0
250;S;Tula;;53.875;37.425;1;0
251;S;Tver;;57.04;34.8;1;0
252;S;Tyumen;;57.39;68.01;1;0
253;S;Udmurtia;;57.2;52.75;0.8;0
254;S;Ulyanosk;;54.14;48.06;0.9;0
255;S;Volgograd;;49.65;44.33;1;0
256;S;Vladimir;;56.12;40.7;1;0
257;S;Voronezh;;51.25;40.1;0.85;0
258;S;Yaroslav;;58.04;39.17;0.9;0
259;S;Karachay-Cherkessia;;43.65;41.61;0.2;0
260;S;Ivanovo;;56.96;41.45;1;0
261;S;Vologda;;59.84;40.89;1;0
262;S;Kostroma;;58.43;43.85;1;0
263;S;Arkhangelsk;;63.21;42.23;1;0
264;S;Komi;;63.63;53.94;1;0
265;S;Kirov;;58.37;49.57;1;0
266;S;Nenets;;67.64;55.46;1;0
267;S;Yamalo-Nenets;;65.58;74.18;1;0
268;S;Khanty-Mansi;;61.83;71.5;1;0
269;S;Krasnoyar;;63.51;95.27;1;0
270;S;Tomsk;;58.54;82.05;1;0
271;S;Novosibirsk;;55.3;80.02;1;0
272;S;Altay;;50.62;86.88;1;0
273;S;Altay Krai;;52.44;82.6;1;0
274;S;Kemerovo;;54.88;86.81;0.8;0
275;S;Tuva;;51.29;93.82;1;0
276;S;Khakassia;;53.37;90.28;0.8;0
277;S;Irkutsk;;56.49;103.14;1;0
278;S;Buryatia;;52.99;110.78;1;0
279;S;Zabaykalsk;;52.18;116.67;1;0
280;S;Amur;;54.23;126.65;1;0
281;S;Khabarovsk;;51.4;136.36;1;0
282;S;Primorye;;44.52;133.72;1;0
283;S;Sakhalin;;50.6;142.9;1;0
284;S;Magadan;;62.77;154.07;1;0
286;S;Kamchatka;;54.95;158.69;1;0
287;S;Chukot;;66.72;172.13;1;0
288;S;Sakha;;66.75;129.64;1;0
289;S;Mari El;;56.5;47.79;0.9;0
290;S;Akmola;;51.75;69.87;1;0
291;S;Aktobe;;48.81;58.62;1;0
292;S;Almaty (City);;43.25;76.94;0.1;0
293;S;Almaty;;44.87;77.52;1;0
294;S;Astana;;51.17;71.43;0.1;0
295;S;Atyrau;;47.56;50.69;1;0
296;S;Karagandy;;48.14;71.28;1;0
297;S;Kostanay;;52.03;63.28;1;0
298;S;Kyzylorda;;45.27;63.41;1;0
299;S;Mangystau;;43.87;53.7;1;0
300;S;Pavlodar;;51.92;76.44;1;0
301;S;Soltustik Kazakhstan;;54.3;68.66;1;0
302;S;Shyghys Kazakhstan;;48.79;81.34;1;0
303;S;Ongtustik Kazakhstan;;42.24;68.33;1;0
304;S;Batys Kazakhstan;;49.48;50.15;1;0
305;S;Jambyl;;44.29;72.22;1;0
