country;state;Name;Pop.;latitude;longitude
COD;ALL;Mbuji-Mayi;1473946;-6.13;23.59
IND;ALL;Pimpri;1471494;18.62;73.8
IRN;ALL;Karaj;1468773;35.8;50.97
IDN;ALL;Tangerang;1464490;-6.18;106.63
NGA;ALL;Aba;1461461;5.1;7.35
UKR;ALL;Kharkiv;1460446;49.98;36.22
MEX;MEX-PUE;Puebla;1459695;19.05;-98.22
IND;ALL;Nāshik;1459589;20.01;73.78
MYS;ALL;Kuala Lumpur;1458790;3.16;101.71
KOR;ALL;Taejŏn;1431880;36.33;127.43
CHN;ALL;Lanzhou;1431444;36.05;103.68
SAU;ALL;Mecca;1421715;21.43;39.82
CHN;ALL;Shantou;1421689;23.37;116.67
KOR;ALL;Koyang;1420926;37.7;126.93
CHN;ALL;Hefei;1417747;31.85;117.28
BRA;ALL;Porto Alegre;1414351;-30.04;-51.22
TUR;ALL;Adana;1410896;37;35.32
IDN;ALL;Makasar;1410551;-5.14;119.41
IRN;ALL;Tabrīz;1409077;38.08;46.3
BGD;ALL;Nārāyanganj;1407871;23.62;90.5
IND;ALL;Farīdābad;1407265;28.38;77.3
CHN;ALL;Fushun;1404944;41.87;123.88
KHM;ALL;Phnum Pénh;1398449;11.57;104.92
RUS;ALL;Novosibirsk;1386829;55.04;82.93
CHN;ALL;Luoyang;1385687;34.68;112.47
BGD;ALL;Khulnā;1378032;22.84;89.56
IDN;ALL;Depok;1377510;-6.39;106.83
ZMB;ALL;Lusaka;1377130;-15.42;28.29
IND;ALL;Ghāziābād;1371673;28.66;77.41
CHN;ALL;Handan;1368724;36.58;114.48
KOR;ALL;Kwangju;1359308;35.16;126.91
PAK;ALL;Peshāwar;1344967;34.01;71.54
IND;ALL;Rājkot;1335397;22.31;70.79
KOR;ALL;Suwŏn;1333428;37.26;127.01
MMR;ALL;Mandalay;1329943;21.98;96.09
KAZ;ALL;Almaty;1328362;43.32;76.92
DEU;ALL;München;1328355;48.14;11.58
IND;ALL;Mīrat;1325929;28.99;77.7
CHN;ALL;Baotou;1323565;40.6;110.05
ITA;ALL;Milano;1321294;45.48;9.19
USA;AZ;Phoenix city;1321045;33.528370;-112.076300
CHN;ALL;Rongcheng;1312718;23.54;116.34
IND;ALL;Kalyān;1312595;19.25;73.16
URY;ALL;Montevideo;1311358;-34.87;-56.17
CHN;ALL;Xianggangdao;1310272;22.27;114.14
RUS;ALL;Yekaterinburg;1306755;56.85;60.6
BFA;ALL;Ouagadougou;1292462;12.37;-1.53
BRA;ALL;Guarulhos;1286855;-23.46;-46.49
IDN;ALL;Semarang;1285269;-6.97;110.42
CHN;ALL;Xuzhou;1274593;34.27;117.18
RUS;ALL;Nizhniy Novgorod;1270686;56.33;44
AUS;ALL;Perth;1266609;-31.96;115.84
SWE;ALL;Stockholm;1265999;59.33;18.07
IDN;ALL;Palembang;1264925;-2.99;104.75
BRA;ALL;Goiânia;1247525;-16.72;-49.26
TUR;ALL;Gaziantep;1245124;37.07;37.39
IRN;ALL;Shīrāz;1233146;29.63;52.57
ARG;ALL;Rosario;1228978;-32.94;-60.67
CHN;ALL;Fuzhou;1225383;26.08;119.3
USA;CA;San Diego city;1223400;32.779541;-117.146344
MEX;MEX-EMEX;Nezahualcóyotl;1220062;19.41;-99.03
CHN;ALL;Shenzhen;1204109;22.53;114.13
ARM;ALL;Yerevan;1195519;40.17;44.52
LBY;ALL;Tripoli;1191047;32.87;13.18
CHN;ALL;Anshan;1190810;41.12;122.95
IND;ALL;Vārānasī;1188704;25.32;83.01
USA;TX;Dallas city;1188580;32.799528;-96.787166
CHN;ALL;Guiyang;1185966;26.58;106.72
AZE;ALL;Baku;1182974;40.39;49.86
CHN;ALL;Wuxi;1182529;31.58;120.3
CZE;ALL;Praha;1181032;50.08;14.43
COG;ALL;Brazzaville;1180176;-4.25;15.26
MYS;ALL;Subang Jaya;1174972;3.15;101.53
MEX;MEX-GTO;León;1173961;21.12;-101.69
IND;ALL;Amritsar;1165066;31.64;74.87
CHN;ALL;Huainan;1158772;32.63;116.98
COL;ALL;Barranquilla;1145003;10.96;-74.8
USA;TX;San Antonio city;1144646;29.451532;-98.512682
