region;route;root;signage
ENG;A439;eng.a0439;non-primary
ENG;A441;eng.a0441;both
ENG;A442;eng.a0442;both
ENG;A443;eng.a0443;non-primary
ENG;A444;eng.a0444;primary
ENG;A444;eng.a0444nun;primary
ENG;A445;eng.a0445;non-primary
ENG;A446;eng.a0446;primary
ENG;A447;eng.a0447;non-primary
ENG;A448;eng.a0448;primary
WLS;A449;wls.a0449;primary
ENG;A449;eng.a0449;both
ENG;A449;eng.a0449wor;primary
ENG;A450;eng.a0450;non-primary
ENG;A451;eng.a0451;non-primary
ENG;A452;eng.a0452;both
ENG;A452;eng.a0452war;primary
ENG;A453;eng.a0453;both
ENG;A453;eng.a0453not;both
ENG;A454;eng.a0454;both
ENG;A456;eng.a0456;primary
ENG;A457;eng.a0457;non-primary
ENG;A458;eng.a0458;both
ENG;A458;eng.a0458she;both
WLS;A458;wls.a0458;primary
ENG;A459;eng.a0459;non-primary
ENG;A459;eng.a0459hal;non-primary
ENG;A460;eng.a0460;primary
ENG;A461;eng.a0461;both
ENG;A462;eng.a0462;non-primary
ENG;A463;eng.a0463;both
ENG;A464;eng.a0464;both
ENG;A465;eng.a0465;both
WLS;A465;wls.a0465;primary
WLS;A466;wls.a0466;both
ENG;A466;eng.a0466red;non-primary
WLS;A466;wls.a0466mon;non-primary
ENG;A466;eng.a0466;non-primary
WLS;A467;wls.a0467;non-primary
WLS;A468;wls.a0468;non-primary
WLS;A469;wls.a0469;non-primary
WLS;A469;wls.a0469pen;non-primary
WLS;A470;wls.a0470but;non-primary
WLS;A470;wls.a0470;both
WLS;A472;wls.a0472;non-primary
WLS;A473;wls.a0473;non-primary
WLS;A474;wls.a0474;non-primary
WLS;A475;wls.a0475;non-primary
WLS;A476;wls.a0476;non-primary
WLS;A477;wls.a0477;both
WLS;A478;wls.a0478;both
WLS;A479;wls.a0479;primary
ENG;A479;eng.a0479;non-primary
ENG;A480;eng.a0480;non-primary
WLS;A481;wls.a0481;non-primary
WLS;A482;wls.a0482;non-primary
WLS;A483;wls.a0483;both
ENG;A483;eng.a0483;primary
WLS;A483;wls.a0483wre;primary
ENG;A483;eng.a0483che;primary
WLS;A484;wls.a0484;non-primary
WLS;A485;wls.a0485;non-primary
WLS;A486;wls.a0486;non-primary
WLS;A487;wls.a0487;both
